case_id,decision,category,confidence,recommended_action,status,predicted,expected,expected_unit,error,schema_source,question,reason
TD016,dev,capacitor_state_event,medium,capacitor state package,solve_failed,,50,V,Event ConnectToSource expects exactly one capacitor.,,"Two capacitors with capacitances C1 = 0.4μF and C2 = 0.6μF are connected in parallel, and then connected to a power source with a voltage U < 60 V. One of the two capacitors has a charge of 3 × 10^-5 C. Calculate the voltage U.","Solver/event model expects one capacitor; question has two capacitors in parallel then source threshold. Need state-event support, not dataset issue."
DT003,dev,two_charge_triangle_field,high,geometry/vector field package,solve_failed,,351000,V/m,schema.queries must be a non-empty list.,,"Two point charges, q1 = q2 = 16 x 10^-8 C, are placed at points A and B, which are 10 cm apart in the air. Determine the electric field strength caused by these two point charges at point C, given that AC = BC = 8 cm.",Two equal charges and AC=BC=8cm; expected field from symmetric vector sum is plausible. Need 2-charge triangle vector formula.
DT005,dev,force_from_field_intent,high,force-from-field final intent,solved,3.125e+06 V/m,0.094,N,,,"At two points A and B, 10 cm apart in the air, two point charges are placed: q1 = 6 x 10^-6 C and q2 = -6 x 10^-6 C. Determine the electric field strength caused by these two charges at point C, given that AC = BC = 12 cm. Calculate the electric force acting on a charge q3 = -3 x 10^-8 C placed at C.","Question asks both field and force, final expected is force on q3; system predicted field only. Need multi-query/final-intent selection."
DT006,dev,force_from_field_intent,high,force-from-field final intent,solved,3.36341e+06 V/m,0.168,N,,,"Two point charges, q1 = 4 x 10^-6 C and q2 = -6.4 x 10^-6 C, are placed at points A and B respectively, which are 20 cm apart in air. Determine the electric field strength due to these two charges at point C, given that AC = 12 cm and BC = 16 cm. Also, determine the electric force acting on a charge q3 = -5 x 10^-8 C when placed at C.","Same pattern as DT005: final requested quantity is force on q3, not field."
DT007,dev,symbolic_geometry,high,symbolic support,solve_failed,,a/ \sqrt{2},m,geometry[1].distance_from_segment.value must be numeric.,,"Two electric charges q1 = q2 = q (with q > 0) are placed at two points A and B, with the distance AB = 2a (m). Point M is located on the perpendicular bisector of the line segment AB, at a distance h from AB. Determine the value of h for which the electric field strength at M is maximum, and calculate this value of h.","Expected a/sqrt(2); symbolic zero-field/location geometry, not numeric dataset."
DT008,dev,symbolic_geometry,high,symbolic support,solve_failed,,/frac{2k \abs{q} h}{(a^2 + h^2)^1.5},V/m,geometry[1].distance_from_segment.value must be numeric.,,"Two charges, q1 = q2 = q (where q > 0, in Coulombs), are placed at points A and B, with the distance AB = 2a (meters). Point M is located on the perpendicular bisector of the line segment AB, at a distance h from AB. Determine the magnitude of the electric field vector at point M. Given k = 9 × 10^9.",Expected symbolic field expression; numeric schema cannot solve symbolic quantities yet.
DT019,dev,symbolic_square_symmetry,high,symbolic support,solve_failed,,0,V/m,geometry[0].side.value must be numeric.,,"Place four charges of the same magnitude q at the four vertices of a square ABCD with side length a. Positive charges are placed at A and C, and negative charges are placed at B and D. Determine the net electric field at the intersection of the square's two diagonals.",Square with symbolic side a and charges q; expected 0 by symmetry. Need symbolic/symmetry support.
DT020,dev,symbolic_square_symmetry,high,symbolic support,solve_failed,,\frac{4 \sqrt{2} k q}{\epsilon a^2},V/m,geometry[0].side.value must be numeric.,,"Four charges of the same magnitude q (C) are placed at the four vertices of a square ABCD with side length a (m). Positive charges are placed at vertices A and D, and negative charges are placed at vertices B and C. Determine the resultant electric field strength at the intersection point of the two diagonals of the square.","Square symbolic expression expected; need symbolic geometry, not a numeric patch."
DT040,dev,symbolic_triangle_equilibrium,high,symbolic/geometry support,solve_failed,,4 . 10^{-9},C,geometry[0].side.value must be numeric.,,"At two vertices A and B of an equilateral triangle ABC with side length 'a', two point charges q1 = q2 = 4 x 10^-9 C are placed in air. What value must charge q3 have at vertex C so that the electric field strength produced by the system of three charges at the centroid G of the triangle is zero?",Equilateral triangle with symbolic side a asks charge value; current geometry requires numeric side.
DT042,gold_wrong_existing,"Duplicate of DT044 physics: E=9e5 V/m, r=0.4 m, eps_r=2.5 gives |q|≈4.0e-5 C and sign negative; expected -0.4e-6 C is off by 100x.",high,exclude from trusted metric,solve_failed,,-0.4 . 10^{-6},C,points[0] has no coordinates and schema.geometry is missing.,,"A point charge q is placed in a homogeneous, infinite medium with a dielectric constant of 2.5. At point M, 0.4m away from q, the electric field vector has a magnitude of 9 x 10^5 V / m and points towards the charge q. Which of the following statements is correct regarding the sign and magnitude of charge q?","Duplicate of DT044 physics: E=9e5 V/m, r=0.4 m, eps_r=2.5 gives |q|≈4.0e-5 C and sign negative; expected -0.4e-6 C is off by 100x."
DT043,dev,charged_particle_kinematics,medium,mechanics/electric kinematics,solve_failed,,2.56,mm,No formula candidate solved successfully.,llm_raw,"An electron moves along the electric field lines of a uniform electric field with an electric field strength E = 100 V / m. Its initial velocity is 300 km / s, in the direction of the electric field vector E. What distance does the electron travel before its velocity reduces to zero?","Electron in uniform E with initial velocity; needs kinematics formula, not electrostatic field geometry."
DT047,dev,symbolic_inverse_field_line,medium,symbolic support,solve_failed,,1/2 . (1/ \sqrt{E_A} + 1/ \sqrt{E_B}),,Cannot compute field from charge q at its own point M.,,"A charge q is placed at point O in the air. Ox is an electric field line. Take two points A and B on Ox. Let M be the midpoint of AB. E_A is the electric field strength at A, and E_B is the electric field strength at B. Determine 1/sqrt(E_M) in terms of E_A and E_B.",Expected symbolic expression from E_A/E_B; needs symbolic inverse-field relation.
DT053,dev,two_charge_triangle_field,high,geometry/vector field package,solved,16000 V/m,2000,V/m,,,"Two point charges q1 = 2 x 10⁻² μC and q2 = –2 x 10⁻² μC are placed at points A and B, separated by a distance a = 30 cm, in the air. What is the magnitude of the electric field strength at point M, which is equidistant from A and B by a distance equal to a?",Opposite equal charges at equilateral geometry; expected ~2000 V/m is physically plausible. Parser/geometry uses wrong distance/sign composition.
DT054,dev,two_charge_midpoint_dielectric,high,geometry/vector field package,solved,2.16e+06 V/m,9.8 . 10^{5},N/C,,,"Determine the electric field vector generated by a system of two point charges, q1 = 2 x 10^-7 C and q2 = -4 x 10^-7 C, at the midpoint of the line segment connecting the two charges. The charges are separated by 10 cm and are located in alcohol, which has a dielectric constant of ε = 2.2.",Midpoint of two opposite charges in dielectric; expected matches vector sum divided by epsilon. Need midpoint dielectric formula.
DT055,dev,square_three_charge_field,medium,geometry/vector field package,solve_failed,,538,N/C,Cannot compute field from charge q2 at its own point D.,,"At three vertices of a square with side length a = 40cm, three equal positive point charges (q1 = q2 = q3 = 5 x 10^-9 C) are placed. What is the magnitude of the electric field vector at the fourth vertex of the square?",Three equal charges at square vertices; expected field at fourth vertex plausible. Need square geometry formula.
DT062,dev,rectangle_unknown_charge_vector,medium,geometry inverse package,solve_failed,,-2.7 . 10^{-8},C,charges[0].charge.value must be numeric.,,"Four points A, B, C, D in air form a rectangle ABCD with sides AD = 3 cm and AB = 4 cm. Charges q1, q2, q3 are placed at A, B, and C respectively. Let vector E2 be the electric field vector produced by q2 at point D, and let vector E13 be the resultant electric field vector produced by charges q1 and q3 at point D. Determine the value of q1. Given that q2 = -12.5 x 10⁻⁸ C and vector E2 = vector E13.",Rectangle unknown charge from vector cancellation. Need 2D vector inverse solver.
DT063,dev,rectangle_unknown_charge_vector,medium,geometry inverse package,solved,"{""Ex"": ""1e+07 V/m"", ""Ey"": ""0 V/m"", ""magnitude"": ""1e+07 V/m""}",-6.4 . 10^{-8},C,,,"Four points A, B, C, D in the air form a rectangle ABCD with sides AD = 3 cm and AB = 4 cm. Charges q1, q2, q3 are placed respectively at A, B, C. Let E2 be the electric field vector created by q2 at D, and E13 be the resultant electric field vector created by charges q1 and q3 at D. Determine the value of q3, given that q2 = −12.5 x 10⁻⁸ C and E2 = E13 (as vectors).",Same rectangle vector inverse family as DT062; system returns field instead of unknown charge.
DT072,dev,charged_distribution_ring_axis,high,charged distribution formulas,ok,10785062.1508 V/m,3863925.47,N/C,,formula_driven,"A thin circular ring with a radius R = 5 cm carries a total charge Q = 3 μC, uniformly distributed along its circumference. The ring lies in the xy-plane, centered at the origin. Calculate the magnitude of the electric field at point P located on the z-axis, 2.5 cm from the center.",Uniform ring axial field; expected matches standard ring-axis formula. Need distribution formula.
DT073,dev,charged_distribution_finite_rod,high,charged distribution formulas,ok,1497925.29872 V/m,6.43 x 10^5,N/C,,formula_driven,"A thin, non-conducting rod of length L = 10 cm is uniformly charged with a linear charge density of λ = 5 x 10^-6 C/m. The rod lies along the z-axis, from z = 0 to z = L. Calculate the net electric field at point M, which is located at a distance r = 6 cm from the origin (point O) along the x-axis.",Finite rod off-axis field; expected matches standard finite rod formula. Need distribution formula.
DT074,dev,charged_distribution_parallel_plates,high,charged distribution formulas,solve_failed,,1000000,N/C,No formula candidate solved successfully.,llm_raw,"Consider two wide, parallel insulating plates with surface charge densities of σ and (−σ), respectively. The distance between them is very small compared to the dimensions of the plates. What is the magnitude of the electric field at a point located between the two plates, given that σ = 8.85 × 10^-6 C/m^2?",Opposite wide sheets/plates; expected uniform field magnitude. Need sheet/plate formula.
DT075,dev,charged_distribution_parallel_sheets,high,charged distribution formulas,solve_failed,,0,N/C,No formula candidate solved successfully.,llm_raw,"Consider two wide parallel insulating sheets with identical surface charge densities of σ. The distance between them is very small compared to their dimensions. What is the magnitude of the electric field at a point located between the two sheets, given that σ = 8.85 × 10^-6 C/m^2?",Identical wide sheets; expected zero between/outside depending region; need sheet superposition logic.
DT080,dev,electric_gravity_equilibrium_mass,medium,scalar inverse mechanics/electric,solve_failed,,3.4 . 10^{-7},kg,schema.points must be a non-empty list.,,"The electric field between two vertical, oppositely charged metal plates has a magnitude of 4900 V/m. Determine the mass of a dust particle placed in this electric field if it carries a charge q = 4.10^-10 C and is in equilibrium, with its suspension thread making an angle of 30° with the vertical.",Dust particle in vertical plates asks mass from qE=mg; current electrostatics schema wrong. Need equilibrium mass candidate.
DT081,dev,point_charge_scalar_parser,high,parser/scalar formula,solve_failed,,200000,V/m,points[0] has no coordinates and schema.geometry is missing.,,"Determine the magnitude of the electric field strength at point M in air, 3 cm away from a point charge q = 2.10⁻⁸ C.",Simple E=kq/r^2; failed because charge notation 2.10⁻⁸ without × was not parsed.
DT083,dev,charged_distribution_disk_axis,high,charged distribution formulas,solve_failed,,156154.35,V/m,geometry[1].of must contain at least two points.,,"A flat, circular conducting disk, with a radius R = 10 cm, is uniformly charged with a surface charge density σ. Calculate the axial component of the electric field strength, Ez, at point P located on the axis perpendicular to the center of the disk (i.e., the z-axis), at a distance z = 5 cm from the center of the disk, given that σ = 5 × 10^-6 C/m^2.",Uniform disk axial field; expected matches disk-axis formula. Need distribution formula.
DT085,dev,two_charge_collinear_vector,medium,geometry/vector field package,solve_failed,,32000,V/m,geometry[1].points must contain at least 2 points.,,"Two electric charges, q1 = 4.10^–10 C and q2 = –4.10^–10 C, are placed at points A and B in air, with AB = 2 cm. Determine the electric field vector at point M, given that MA = 1 cm and MB = 3 cm.",Two charges with MA=1cm MB=3cm asks field vector; need 1D/collinear vector target parsing.
DT089,dev,charged_distribution_infinite_plate,high,charged distribution formulas,solve_failed,,2.26.10^4,V/m,points[0] has no coordinates and schema.geometry is missing.,,"An infinitely large, flat metal plate is uniformly charged. It was determined that the charge contained on a 2 m x 5 m rectangular area is 4 µC. Calculate the electric field strength at point M, 20 cm away from the metal plate.",Infinite sheet/plate field from surface charge density; expected matches non-conducting sheet formula.
DT091,dev,charged_distribution_semicircle_center,high,charged distribution formulas,ok,157.282156365 V/m,100,V/m,,llm_raw,A charge Q = 0.7 x 10^^-9 C is uniformly distributed along a semicircle with center O and radius R = 20 cm. Determine the electric field strength at O.,Uniform semicircle center field; expected ~100 V/m matches formula 2kQ/(pi R^2).
