id,question,answer,_prefix,_skip_guess
TD401,Calculate the energy stored in capacitor C when C = 100 μF and U = 30 V.,0.045,TD,False
TD402,"Calculate the capacitance C of the capacitor, given that it stores Q = 3 mC when fully charged under U = 30 V.",100,TD,False
LD001,"Two charges, q1 = 6 × 10^-8 C and q2 = -6 × 10^-8 C, are placed at points A and B in air, 8 cm apart. A third charge, q3 = 6 × 10^-8 C, is placed at point C, with CA = 5 cm and CB = 3 cm. Determine the force acting on q3.",0.05,LD,False
LD002,"Three electric charges are placed at three fixed points, forming a right-angled triangle ABC (right-angled at A), where AB = 4 m and BC = 5 m. The charges are qA = 5.0 μC, qB = -5.0 μC, and qC = 4.0 μC, respectively. Find the net electric force acting on the charge at A.",24.45 × 10^-3,LD,True
LD003,"Points A and B are separated by 20 cm in air. Charges q1 = -3 × 10^-6 C and q2 = 8 × 10^-6 C are placed at A and B, respectively. A test charge q3 = 2 × 10^-6 C is placed at point C such that AC = 12 cm and BC = 16 cm. Calculate the magnitude of the electric force acting on q3.",6.76,LD,False
LD004,"Two point charges q1 = 3 × 10^-8 C and q2 = 2 × 10^-8 C are placed at points A and B in a vacuum, with AB = 5 cm. A charge q0 = -2 × 10^-8 C is placed at M, where MA = 4 cm and MB = 3 cm. Calculate the net electric force acting on q0.",5.234 × 10^-3,LD,False
LD005,"Three electric charges, q1 = q2 = q3 = 1.6 × 10^-19 C, are placed at the three vertices of an equilateral triangle ABC with side length 16 cm in air. Determine the net electric force vector acting on q3.",9\sqrt{3} × 10^-27,LD,False
LD006,"Two point charges q1 = 10^-8 C and q2 = -3×10^-8 C are placed in air at two points A and B, 8 cm apart. A point charge q = 10^-8 C is placed at point M, which is on the perpendicular bisector of the line segment AB and 3 cm away from AB. Given k = 9×10^9 N.m^2/C^2. What is the magnitude of the net electric force exerted by q1 and q2 on q?",1.23 × 10^-3,LD,False
LD007,"Two charges, q1 = +2×10^-6 C and q2 = -2×10^-6 C, are placed at points A and B in a vacuum, 6 cm apart. A third charge, q3 = +2×10^-6 C, is placed on the perpendicular bisector of the line segment AB, 4 cm away from AB. What is the magnitude of the net electric force exerted by q1 and q2 on q3?",17.28,LD,False
LD008,"Two electric forces are acting in the same direction, with magnitudes of 3 N and 4 N respectively. What is the resultant force?",7,LD,False
