id,question,answer,unit,smart_bucket,reason
TD401,Calculate the energy stored in capacitor C when C = 100 μF and U = 30 V.,0.045,J,equations_seed_from_old_code,exact old equation example: capacitor_energy_voltage
TD402,"Calculate the capacitance C of the capacitor, given that it stores Q = 3 mC when fully charged under U = 30 V.",100,μF,equations_seed_from_old_code,exact old equation example: capacitor_charge_voltage
LD001,"Two charges, q1 = 6 × 10^-8 C and q2 = -6 × 10^-8 C, are placed at points A and B in air, 8 cm apart. A third charge, q3 = 6 × 10^-8 C, is placed at point C, with CA = 5 cm and CB = 3 cm. Determine the force acting on q3.",0.05,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD002,"Three electric charges are placed at three fixed points, forming a right-angled triangle ABC (right-angled at A), where AB = 4 m and BC = 5 m. The charges are qA = 5.0 μC, qB = -5.0 μC, and qC = 4.0 μC, respectively. Find the net electric force acting on the charge at A.",24.45 × 10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD003,"Points A and B are separated by 20 cm in air. Charges q1 = -3 × 10^-6 C and q2 = 8 × 10^-6 C are placed at A and B, respectively. A test charge q3 = 2 × 10^-6 C is placed at point C such that AC = 12 cm and BC = 16 cm. Calculate the magnitude of the electric force acting on q3.",6.76,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD004,"Two point charges q1 = 3 × 10^-8 C and q2 = 2 × 10^-8 C are placed at points A and B in a vacuum, with AB = 5 cm. A charge q0 = -2 × 10^-8 C is placed at M, where MA = 4 cm and MB = 3 cm. Calculate the net electric force acting on q0.",5.234 × 10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD005,"Three electric charges, q1 = q2 = q3 = 1.6 × 10^-19 C, are placed at the three vertices of an equilateral triangle ABC with side length 16 cm in air. Determine the net electric force vector acting on q3.",9\sqrt{3} × 10^-27,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD006,"Two point charges q1 = 10^-8 C and q2 = -3×10^-8 C are placed in air at two points A and B, 8 cm apart. A point charge q = 10^-8 C is placed at point M, which is on the perpendicular bisector of the line segment AB and 3 cm away from AB. Given k = 9×10^9 N.m^2/C^2. What is the magnitude of the net electric force exerted by q1 and q2 on q?",1.23 × 10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD007,"Two charges, q1 = +2×10^-6 C and q2 = -2×10^-6 C, are placed at points A and B in a vacuum, 6 cm apart. A third charge, q3 = +2×10^-6 C, is placed on the perpendicular bisector of the line segment AB, 4 cm away from AB. What is the magnitude of the net electric force exerted by q1 and q2 on q3?",17.28,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD008,"Two electric forces are acting in the same direction, with magnitudes of 3 N and 4 N respectively. What is the resultant force?",7,N,electrostatics_or_geometry_review,LD prefix fallback
LD009,"Two electric forces, each with a magnitude of 5 N, act at an angle of 60° to each other. What is the resultant force?",8.66,N,electrostatics_or_geometry_review,LD prefix fallback
LD010,"Three charges q1 = +2 μC, q2 = +2 μC, and q3 = -2 μC are placed at the three vertices of an equilateral triangle with a side length of 10 cm. Calculate the magnitude of the net electric force acting on q3.",6.24,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD011,"An electric charge is subjected to two electric forces with magnitudes of 4 N and 3 N, acting at an angle of 90° to each other. Calculate the resultant force. (This is a very direct and clear translation.)",5,N,equations_candidate,scalar formula wording
LD012,"Three charges q1 = +1 μC, q2 = +1 μC, and q3 = -1 μC are placed at the vertices of an equilateral triangle with side a = 20 cm. Calculate the magnitude of the net force acting on q3.",0.39,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD013,"Two charges are placed equidistant from point O. The electric forces exerted by these two charges on point O are 6 N and 8 N, respectively, and are perpendicular to each other. Calculate the resultant force at O.",10,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD014,"Two charges separated by 15 cm exert a force of 4.8 N. Given that q1 = q2 = q, find q.",3.46,μC,electrostatics_candidate,Coulomb/electric-force geometry wording
LD015,Two electric forces with magnitudes of 5 N and 12 N act at an angle of 60° to each other. Calculate the resultant force.,15.13,N,electrostatics_or_geometry_review,LD prefix fallback
LD016,"Three identical charges q = +1 μC are placed at the three vertices of an isosceles right triangle, with sides of length a = 10 cm. Calculate the net force acting on the charge at the right angle vertex.",1.27,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD017,"Three charges: q1 = +3 μC, q2 = -2 μC, and q3 = +1 μC are placed 10 cm apart on a straight line. Calculate the force acting on q2.",3.6,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD018,Two identical charges q = +2 μC are placed at two vertices of an equilateral triangle with side length a = 0.1 m. A charge q′ = -1 μC is placed at the remaining vertex. Calculate the net electric force acting on q′.,3.12,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD019,"Two electric forces have magnitudes of 6 N and 8 N, acting at an angle of 120° to each other. Calculate the resultant force of these two forces.",7.21,N,electrostatics_or_geometry_review,LD prefix fallback
LD020,"A charge is acted upon by two forces, each of magnitude 10 N. Find the angle between the two forces if the resultant force is also 10 N.",120,degree,equations_candidate,scalar formula wording
LD021,"A charge q = -1 μC is attracted by two +1 μC charges. These two positive charges are located on opposite sides of q, along the same straight line passing through q, at distances of 5 cm and 12 cm respectively from q. Calculate the magnitude of the net electric force acting on q.",2.98,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD022,"Two electric charges, q1 = +2 μC and q2 = -2 μC, are placed 10 cm apart. A charge q3 = +1 μC is placed at the midpoint of the line segment connecting q1 and q2. Calculate the net force acting on q3.",14.4,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD023,"Two forces act on a charge. They are collinear and act in opposite directions, with magnitudes of 15 N and 9 N. Calculate the magnitude and direction of the resultant force.",6,N,equations_candidate,scalar formula wording
LD024,"Three charges q1 = +1 μC, q2 = -2 μC, q3 = +3 μC are placed at the vertices of an isosceles right triangle with legs of 0.1 m. Calculate the net force acting on q3.",06.04,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD025,"Two charges, q1 = +2 μC and q2 = +2 μC, are placed at the ends of a 10 cm long line segment. A third charge, q3 = -1 μC, is positioned along the line connecting q1 and q2. Calculate the net force acting on q3 when it is 4 cm away from q1.",6.25,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD026,"Two electric charges, q1 = 8 × 10^-8 C and q2 = -8 × 10^-8 C, are placed at points A and B respectively, in air (AB = 6 cm). Determine the force acting on a third charge q3 = 8 × 10^-8 C, given that: CA = 4 cm and CB = 2 cm.",0.18,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD027,"Two charges, q1 = 8×10^-8 C and q2 = -8×10^-8 C, are placed at points A and B in the air (AB = 6 cm). Determine the force acting on a third charge q3 = 8×10^-8 C, if CA = 4 cm and CB = 10 cm.",30.24 × 10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD028,"Two point charges, q1 = 8 × 10⁻⁸ C and q2 = -8 × 10⁻⁸ C, are placed at points A and B, respectively, in air (AB = 6 cm). Determine the force acting on a third charge q3 = 8 × 10⁻⁸ C if it is placed at point C such that CA = CB = 5 cm.",27.65 × 10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
LD029,"Three point charges q1 = 4×10^-8 C, q2 = -4×10^-8 C, and q3 = 5×10^-8 C are placed in air at the three vertices A, B, C of an equilateral triangle with side a = 2 cm. Determine the magnitude of the force vector acting on q3.",45 × 10^-3,N,electrostatics_candidate,Coulomb/electric-force geometry wording
